,Id,Name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
15229,15229,ChilliPark,Yes,No,0.0,0,Electronic City,Quick Bites,NA,"North Indian, Chinese, Fast Food",300,Dine-out
15230,15230,Marmaris,No,No,3.8,76,Electronic City,Quick Bites,"Noodles, Rolls, Maggi","North Indian, Momos",300,Dine-out
15231,15231,TheHungry,Yes,No,3.6,20,Electronic City,Quick Bites,NA,"Fast Food, Chinese",400,Dine-out
15232,15232,ParathaHouse,Yes,No,3.6,33,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Dine-out
15233,15233,UmaKiRasoi,Yes,No,3.9,40,Electronic City,Quick Bites,NA,North Indian,250,Dine-out
15234,15234,ChinaGarden,Yes,No,3.6,25,Electronic City,Quick Bites,NA,"Chinese, North Indian",300,Dine-out
15236,15236,PurePunjabi,Yes,No,3.4,275,Electronic City,Quick Bites,Noodles,"Chinese, North Indian, Fast Food",450,Dine-out
15237,15237,SamosaSingh,Yes,No,4.0,427,Electronic City,Quick Bites,"Samosa Chat, Tea, Aloo Samosa, Chai, Ginger Paneer, Burger Samosa, Chicken Kebab","Street Food, Beverages",150,Dine-out
15238,15238,JiganiDumBiryaniCentre,No,No,3.3,7,Electronic City,Quick Bites,NA,Biryani,150,Dine-out
15239,15239,ChefBakers,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600,Dine-out
15240,15240,KolkataKitchen,Yes,No,3.2,231,Electronic City,Quick Bites,"Fish Thali, Chicken Curry, Chicken Biryani, Aalo Bhaja","North Indian, Fast Food, Biryani",400,Dine-out
15241,15241,TubaRollsSnacks,Yes,No,3.0,58,Electronic City,Quick Bites,NA,"Chinese, Fast Food, North Indian, Rolls",200,Dine-out
15242,15242,Messys,Yes,No,3.8,108,Electronic City,Quick Bites,"Pizza, Sandwiches, Burgers, Chaat, Panipuri",Fast Food,400,Dine-out
15243,15243,AndhraBiryaniCurries,Yes,No,3.1,4,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese, Andhra, Biryani",400,Dine-out
15244,15244,WakhraSwaad,Yes,No,3.4,83,Electronic City,Quick Bites,"Tandoori Roti, Soya Chaap","North Indian, Biryani, Rolls, Beverages",300,Dine-out
15245,15245,NandiniDosaCamp,No,No,0.0,0,Electronic City,Quick Bites,NA,South Indian,100,Dine-out
15246,15246,HanchinaManeRestaurant,No,No,0.0,0,Electronic City,Quick Bites,NA,North Indian,400,Dine-out
15247,15247,CrumbzCrunches,Yes,No,3.1,44,Electronic City,Quick Bites,NA,"North Indian, Chinese",450,Dine-out
15248,15248,IndianFoodCourt,Yes,No,3.8,234,Electronic City,Quick Bites,"Paratha, Chicken Butter Masala, Chicken Parantha, Palak Paneer, Hariyali Chicken, Thali","North Indian, Chinese, Fast Food",400,Dine-out
15249,15249,Shanghai,Yes,No,3.5,19,Electronic City,Quick Bites,NA,Chinese,250,Dine-out
15250,15250,SankalpReddyRestaurant,Yes,No,3.9,33,Electronic City,Quick Bites,NA,"South Indian, Andhra, Biryani",300,Dine-out
15251,15251,RagiNadu,No,No,3.5,13,Electronic City,Quick Bites,NA,"South Indian, Biryani, Chinese",450,Dine-out
15252,15252,RollsOnWheels,No,No,2.7,23,Electronic City,Quick Bites,NA,"Fast Food, Rolls, Momos",300,Dine-out
15254,15254,MeatAndEat,Yes,No,3.3,6,Electronic City,Quick Bites,NA,"Fast Food, Burger",500,Dine-out
15255,15255,KaraikudiRestaurant,Yes,No,3.7,214,Electronic City,Quick Bites,"Paratha, Chicken Curry, Biryani",South Indian,300,NA
15257,15257,MaaTaraHotel,Yes,No,3.8,50,Electronic City,Quick Bites,NA,"Chinese, North Indian",400,Dine-out
15258,15258,MBRDumBiryaniCounty,No,No,3.5,24,Electronic City,Quick Bites,NA,"Biryani, North Indian",150,Dine-out
15259,15259,NaadanBhakshanasaala,No,No,3.3,8,Electronic City,Quick Bites,NA,"Kerala, South Indian",250,Dine-out
15260,15260,HalfGirlfriend,Yes,No,0.0,0,Electronic City,Quick Bites,NA,"Biryani, North Indian, Chinese, Fast Food",600,Dine-out
15261,15261,BMGHotel,No,No,0.0,0,Electronic City,Quick Bites,NA,"South Indian, North Indian",200,Dine-out
15262,15262,KairaliRestaurant,Yes,No,3.4,19,Electronic City,Quick Bites,NA,"Kerala, South Indian",400,Dine-out
15263,15263,Juicy,Yes,No,3.9,37,Electronic City,"Beverage Shop, Quick Bites",NA,"Beverages, Juices, Fast Food",200,Dine-out
15264,15264,NewAastha,Yes,No,3.6,34,Electronic City,Quick Bites,NA,"North Indian, Chinese",250,Dine-out
15265,15265,DesiBreakk,No,No,3.6,29,Electronic City,Quick Bites,NA,North Indian,150,Dine-out
15267,15267,ChivisMeilleursBoulangers,Yes,No,3.4,12,Electronic City,Quick Bites,NA,"South Indian, Bakery, Fast Food",300,Dine-out
15268,15268,SFCKababCorner,No,No,3.6,14,Electronic City,Quick Bites,NA,"Chinese, Andhra",350,Dine-out
15269,15269,RoyalChowpatty,No,No,3.7,14,Electronic City,Quick Bites,NA,Street Food,100,Dine-out
